Number of Edges for 100 Vertices,Average Number of Comparisons
100,5053.37
198,5120.63
296,5184.96
394,5241.08
492,5291.23
590,5340.11
688,5388.52
786,5435.59
884,5487.87
982,5533.91
1080,5585.75
1178,5631.56
1276,5680.34
1374,5729.03
1472,5779.68
1570,5826.74
1668,5875.95
1766,5920.6
1864,5972.65
1962,6019.66
2060,6069.04
2158,6120.16
2256,6165.18
2354,6214.96
2452,6261.38
2550,6313.25
2648,6358.53
2746,6412.99
2844,6456.21
2942,6508.04
3040,6550.07
3138,6602.13
3236,6652.58
3334,6701.24
3432,6748.97
3530,6797.04
3628,6843.28
3726,6897.47
3824,6944.14
3922,6991.28
4020,7038.11
4118,7088.09
4216,7137.92
4314,7186.03
4412,7234.79
4510,7279.89
4608,7331.92
4706,7382.18
4804,7428.52
4902,7475.29
5000,7522.58
5098,7569.24
5196,7619.03
5294,7672.52
5392,7718.6
5490,7767.39
5588,7812.91
5686,7863.53
5784,7913.33
5882,7959.3
5980,8009.16
6078,8059.55
6176,8109.26
6274,8151.55
6372,8201.94
6470,8253.35
6568,8299.49
6666,8350.44
6764,8401.49
6862,8444.13
6960,8490.67
7058,8538.29
7156,8590.48
7254,8642.33
7352,8683.57
7450,8735.64
7548,8783.67
7646,8832.07
7744,8879.71
7842,8928.57
7940,8979.09
8038,9031.29
8136,9074.06
8234,9126.45
8332,9174.11
8430,9222.21
8528,9273.36
8626,9318.55
8724,9365.02
8822,9417.78
8920,9466.32
9018,9513.1
9116,9560.41
9214,9608.12
9312,9657.8
9410,9706.55
9508,9756.48
9606,9805.13
9704,9853.73
9802,9899.77
9900,9947.63
